sku,name,category,price_paise,cogs_paise,return_rate,stock_units
SHOE-001,Running Shoes Size 8,footwear,100000,62000,0.22,14
SHOE-002,Running Shoes Size 9,footwear,100000,62000,0.22,8
SHOE-003,Trail Shoes,footwear,120000,74000,0.18,22
SOCK-3PK,Performance Socks 3-Pack,accessories,34900,21000,0.04,1240
SOCK-1PK,Performance Socks Single,accessories,12900,7700,0.04,980
INSOLE-1,Gel Insoles,accessories,24900,14900,0.08,340
BOTTLE-1,750ml Water Bottle,accessories,59900,35900,0.06,210
SHIRT-1,Dri-Fit Running Shirt,apparel,79900,47900,0.28,55
SHORTS-1,Running Shorts,apparel,69900,41900,0.25,43
CAP-1,Running Cap,accessories,39900,23900,0.09,520
BAND-1,Resistance Band Set,fitness,44900,26900,0.11,180
FOAM-1,Foam Roller,fitness,89900,53900,0.07,95
WATCH-1,GPS Running Watch,electronics,299900,209900,0.15,7
EARPHONE-1,Wireless Sport Earphones,electronics,199900,139900,0.18,12
MAT-1,Yoga Mat,fitness,79900,47900,0.09,67
